ISBN,Book-Title,Book-Author
0722532938,,
0345342569,Shoeless Joe,W. P. Kinsella
0671722859,ROMEO AND JULIET,William Shakespeare
044011585X,Crossings,DANIELLE STEEL
0451194861,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King
0836220986,The Far Side Observer,Gary Larson
0380820145,Friendship Cake,J. Lynne Hinton
0380756293,The Magic of You (Malory Novels (Paperback)),Johanna Lindsey
1400030927,Jennifer Government,MAX BARRY
0515134368,The Penwyth Curse,Catherine Coulter
0451408888,The Trials of Tiffany Trott,Isabel Wolff
1573228737,Affinity,Sarah Waters
0805019359,J is for Judgment,Sue Grafton
0743222008,The Vanished Man : A Lincoln Rhyme Novel,Jeffery Deaver
0345323440,Footfall,Larry Niven
0684818868,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,James W. Loewen
0671020293,Butterfly (Orphans),V.C. Andrews
0385501560,Choke,Chuck Palahniuk
0525945636,Code to Zero,Ken Follett
0373218958,Less Of A Stranger (Silhouette Single Title),Nora Roberts
0375758453,Without Reservations : The Travels of an Independent Woman,ALICE STEINBACH
0679879269,"The Amber Spyglass (His Dark Materials, Book 3)",Philip Pullman
051513449X,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton
0312977026,K-Pax,Gene Brewer
0590634275,Captain Underpants and the Attack of the Talking Toilets: Another Epic Novel (Captain Underpants (Paper)),Dav Pilkey
0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson
0373250223,Name &amp; Address Withheld (Red Dress Ink (Paperback)),Jane Sigaloff
0312140940,Wonder Boys : A Novel (Bestselling Backlist),Michael Chabon
0312963009,Neanderthal: A Novel,John Darnton
044022473X,Breach of Promise,Perri O'Shaughnessy
0553351397,Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hahn
0380978407,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore
0060086386,Filthy Rich,Dorothy Samuels
0394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS
0380727293,Dr. Atkins' New Diet Revolution,Robert C. Atkins
0373484836,Cordina'S Royal Family,Nora Roberts
0486264645,Heart of Darkness (Dover Thrift Editions),Joseph Conrad
0446605581,Fat Tuesday,Sandra Brown
0670891576,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick
0316710571,Sam's Letters to Jennifer,James Patterson
0671015648,Isabel's Bed,Elinor Lipman
0345427653,Star Wars Episode 1: The Phantom Menace,Terry Brooks
0515119202,Daring to Dream,Nora Roberts
0525941673,Cavedweller,Dorothy Allison
0380730200,The Giant's House : A Romance,Elizabeth McCracken
0345438825,Angry Housewives Eating Bon Bons,LORNA LANDVIK
0440223016,A Long Fatal Love Chase,Louisa May Alcott
0671695142,Twilight's Child (Cutler),V.C. Andrews
0446527297,The Millionaires,Brad Meltzer
0345458915,The Sinner,TESS GERRITSEN
0440210690,Indemnity Only (V.I. Warshawski Novels (Paperback)),Sara Paretsky
1551669153,Split Second (Maggie O'Dell Novels (Paperback)),Alex Kava
0345347951,Childhood's End,Arthur C. Clarke
0441478123,The Left Hand of Darkness (Remembering Tomorrow),Ursula K. Le Guin
0440222818,Guilt,John T. Lescroart
0590457225,Dealing With Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede
0671525751,Someone to Watch Over Me : A Novel,Judith McNaught
0515136557,The Cat Who Brought Down the House,Lilian Jackson Braun
0671553046,Life Support,Tess Gerritsen
0767903854,In a Sunburned Country,Bill Bryson
0786819146,"The Eternity Code (Artemis Fowl, Book 3)",Eoin Colfer
067082982X,The Dark Half,Stephen King
0515129933,The Scottish Bride (Bride Trilogy (Paperback)),Catherine Coulter
0553579908,"A Clash of Kings (A Song of Fire and Ice, Book 2)",George R. R. Martin
0452283027,Farm Fatale: A Comedy of Country Manors,Wendy Holden
1558747028,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield
0373270976,"Night Shield (Intimate Moments, 1027)",Nora Roberts
0553584707,Catering to Nobody,Diane Mott Davidson
0812533054,"Seventh Son (Tales of Alvin Maker, Book 1)",Orson Scott Card
0743412621,The Second Time Around : A Novel,Mary Higgins Clark
0060558199,Save Karyn : One Shopaholic's Journey to Debt and Back,Karyn Bosnak
0425173755,Murder on the Orient Express (Hercule Poirot Mysteries (Paperback)),Agatha Christie
0140620109,Emma (Penguin Popular Classics),Jane Austen
044651747X,Puerto Vallarta Squeeze,Robert James Waller
0515136263,Chesapeake Blue,Nora Roberts
0449215296,Family: The Ties That Bind and Gag,Erma Bombeck
0060977744,Crazy Ladies : A Novel,Michael Lee West
0515115649,The Cat Who Came to Breakfast,Lilian Jackson Braun
0743246071,The Queen's Fool : A Novel,Philippa Gregory
0399150838,"So Many Books, So Little Time: A Year of Passionate Reading",Sara Nelson
0316155306,The Narrows: A Novel,Michael Connelly
0451200101,The Experiment,John Darnton
074320607X,"Nighttime Is My Time (Clark, Mary Higgins)",Mary Higgins Clark
0312973055,Robert Ludlum's The Hades Factor,Robert Ludlum
0525934251,Bastard Out of Carolina,Dorothy Allison
0671534726,Heart Song (Logan),V.C. Andrews
3442413338,"Lauf, Jane, lauf. Roman.",Joy Fielding
1885171080,"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry
0060540753,Patron Saint of Liars : A Novel,Ann Patchett
0099521016,Midnight In the Garden of Good and Evil,John Berendt
0671867083,REMEMBER ME,Mary Higgins Clark
067081458X,The Eyes of the Dragon,Stephen King
0446600415,The Day After Tomorrow,Allan Folsom
0060917016,Homeland and Other Stories,Barbara Kingsolver
0671528203,Stillwatch,Mary Higgins Clark
0345358791,2061: Odyssey Three,Arthur C. Clarke
0440224845,Bittersweet,DANIELLE STEEL
0395177111,The Hobbit (Leatherette Collector's Edition),J. R. R. Tolkien
0786817879,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer
0440237416,Warning Signs,Stephen White
0446358576,Cathedral,Nelson DeMille
0525945814,Falling Angels,Tracy Chevalier
0446604402,The Laws of Our Fathers,Scott Turow
0515120278,The Cat Who Said Cheese,Lilian Jackson Braun
0749324740,,
1558745432,A 5th Portion of Chicken Soup for the Soul : 101 Stories to Open the Heart and Rekindle the Spirit,Jack Canfield
0804113475,Ladder of Years,Anne Tyler
0802135226,The Passion,Jeanette Winterson
087542791X,To Ride a Silver Broomstick: New Generation Witchcraft,Silver Ravenwolf
0515094978,The Cat Who Had 14 Tales,Lilian Jackson Braun
1573228583,Speaking With the Angel,Nick Hornby
0425176304,Judgment in Death,J. D. Robb
0375414657,The Piano Tuner,Daniel Mason
0060192119,As Nature Made Him: The Boy Who Was Raised As a Girl,John Colapinto
076791404X,She's Not There : A Life in Two Genders,JENNIFER FINNEY BOYLAN
0515128821,The Breaker,Minette Walters
0451170113,Night Shift,Stephen King
0684859734,Grave Secrets (Temperance Brennan Novel (Hardcover)),Kathy Reichs
1570613818,"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl
0679435328,The Angel of Darkness,Caleb Carr
0440217512,Wings,Danielle Steel
0770428827,,
0380780860,Murder on a Girls' Night Out: A Southern Sisters Mystery,Anne George
0440224829,Granny Dan,DANIELLE STEEL
1861976127,"Eats, Shoots and Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss
0373250207,Fishbowl (Red Dress Ink (Paperback)),Sarah Mlynowski
0373835922,Lawless,Nora Roberts
0312991460,To the Nines (A Stephanie Plum Novel),Janet Evanovich
0451409000,Messiah,Boris Starling
0345452577,The Conspiracy Club,JONATHAN KELLERMAN
0374527229,Ex Libris : Confessions of a Common Reader,Anne Fadiman
0394558235,"Queen of the Damned (Vampire Chronicles, Book III)",Anne Rice
0451206002,Over the Edge: An Alex Delaware Novel (Alex Delaware Novels (Paperback)),Jonathan Kellerman
055329170X,Time Bomb (Alex Delaware Novels (Paperback)),Jonathan Kellerman
0440217466,Vanished,Danielle Steel
1573229083,My Dream of You,Nuala O'Faolain
0553573926,Vertical Run,Joseph R. Garber
0765341174,"Sarah (Card, Orson Scott. Women of Genesis.)",Orson Scott Card
0805056491,Organizing from the Inside Out,Julie Morgenstern
0141001828,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nat Philbrick
0671797050,FIRST WIVES CLUB,Olivia Goldsmith
038070613X,Taliesin : Book One of the Pendragon Cycle (Pendragon Cycle),Stephen R. Lawhead
0515107662,The Sherbrooke Bride (Bride Trilogy (Paperback)),Catherine Coulter
0061057894,Acorna: The Unicorn Girl (Acorna (Paperback)),Anne McCaffrey
0446609145,Void Moon,Michael Connelly
067942525X,Intensity,DEAN KOONTZ
8817106100,Oceano Mare,Alessandro Baricco
0671702513,The Prize,Julie Garwood
0836210263,Still Pumped From Using The Mouse,Scott Adams
0451207246,How to Murder a Millionaire,Nancy Martin
1551669390,Dark Water (Mira Romantic Suspense),Sharon Sala
0140348107,My Side of the Mountain,Jean Craighead George
0679433023,Violin,Anne Rice
0446527130,Envy,Sandra Brown
0552142352,,
0425192032,Lightning,Dean Koontz
0671534742,Music in the Night (Logan),V.C. Andrews
0393307050,Master and Commander (Aubrey-Maturin (Paperback)),Patrick O'Brian
068480087X,POSTCARDS,Annie Proulx
0060977477,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger
0684859718,Deadly Decisions,Kathy Reichs
0671871005,The WEDDING,Julie Garwood
0312950586,Every Living Thing,James Herriot
0345322231,Being a Green Mother (Incarnations of Immortality (Paperback)),Piers Anthony
0449217493,Caribbean,James A. Michener
0380726289,"Darkness, Take My Hand (Patrick Kenzie/Angela Gennaro Novels)",Dennis Lehane
0553585118,Once a Thief,Kay Hooper
0515116750,Born in Ice,Nora Roberts
0749396067,,
0399149821,Dirty Work,Stuart Woods
0449223345,A Pirate Looks at Fifty,Jimmy Buffett
0679777547,The Club Dumas: A Novel,Arturo Perez-Reverte
0446353205,The Charm School,Nelson DeMille
0676973094,,
0451410556,The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes
0451184726,She Walks These Hills,Sharyn McCrumb
0943233437,Random Acts of Kindness,Conari Press
0312989393,Queen Bee of Mimosa Branch,Haywood Smith
0380709562,"Ramona Quimby, Age 8 (Avon Camelot Books (Paperback))",Beverly Cleary
3596215226,Schachnovelle,Stefan Zweig
0743233468,Bare Bones : A Novel,Kathy Reichs
0842329161,Apollyon: The Destroyer Is Unleashed (Left Behind #5),Tim Lahaye
0671534645,Apollo 13 : Lost Moon,Jim Lovell
0451210158,Dirty Work (Stone Barrington Novels (Paperback)),Stuart Woods
0684803356,For Whom the Bell Tolls,Ernest Hemingway
0679454497,Blood and Gold (Vampire Chronicles),Anne Rice
0312050631,Confessions of a Failed Southern Lady,Florence King
0380725231,Coyote Blue,Christopher Moore
0440193613,Wanderlust,Danielle Steel
1583224890,9-11,Noam Chomsky
0684841177,Deja Dead,Kathy Reichs
0425182673,"Cybernation (Tom Clancy's Net Force, No. 6)",Steve Perry
0553584480,The Face,DEAN KOONTZ
0061020680,Mort (Discworld Novels (Paperback)),Terry Pratchett
0060090383,Rachel's Holiday,Marian Keyes
0440224721,Obstruction of Justice,Perry O'Shaughnessy
0452283868,Sula,Toni Morrison
0064408639,"The Austere Academy (A Series of Unfortunate Events, Book 5)",Lemony Snicket
006447108X,The Last Battle,C. S. Lewis
0679410325,"Secret History, The",DONNA TARTT
0060652934,The Screwtape Letters,C. S. Lewis
0395927218,The Namesake,Jhumpa Lahiri
0515090166,The Cat Who Saw Red,Lilian Jackson Braun
8804342838,Due di due (Bestsellers),Andrea De Carlo
006093090X,The Night Listener : A Novel,Armistead Maupin
0971181802,E-Wally and the Quest,Judy Shasek
0553349481,Another Roadside Attraction,TOM ROBBINS
0425127583,The Mask,Dean R. Koontz
1551660717,Forbidden Fruit,Erica Spindler
0060519134,Savannah Blues,Mary Kay Andrews
0671776800,Paradise,Judith McNaught
0060508302,Angels Everywhere: A Season of Angels/Touched by Angels (Avon Romance),Debbie MacOmber
0399143904,Rainbow Six,Tom Clancy
0553580388,The Patient,Michael Palmer
0446521582,The Honk and Holler Opening Soon,Billie Letts
0064408647,"The Ersatz Elevator (A Series of Unfortunate Events, Book 6)",Lemony Snicket
0446516570,Up Country: A Novel,Nelson DeMille
8420634093,El guardiÃ¡n entre el centeno,J. D. Salinger
0425155722,The Fool's Run,John Sandford
0312421036,Eva Moves the Furniture: A Novel,Margot Livesey
0553106651,Seize the Night,DEAN KOONTZ
0449208133,Lucifer's Hammer,Larry Niven
0670878847,The Most Wanted,Jacquelyn Mitchard
0515133418,Summer in Eclipse Bay,Jayne Ann Krentz
0688163165,Mystic River,Dennis Lehane
1853260282,Emma (Wordsworth Classics),Jane Austen
0446601640,Slow Waltz in Cedar Bend,Robert James Waller
0064408655,"The Vile Village (A Series of Unfortunate Events, Book 7)",Lemony Snicket
0671507036,Montana 1948 : Montana 1948,Larry Watson
0553379615,Into the Forest,JEAN HEGLAND
0515116068,Hidden Riches,Nora Roberts
0446602744,The Rules(TM) : Time-Tested Secrets for Capturing the Heart of Mr. Right,Ellen Fein
038531695X,The Ghost,Danielle Steel
0380814803,The Pursuit (Avon Historical Romance),Johanna Lindsey
0064400050,By the Shores of Silver Lake (Little House),Laura Ingalls Wilder
3423105410,,
0385335466,Sunset in St. Tropez,Danielle Steel
0446610550,The Playboy,Carly Phillips
0684803968,LET ME CALL YOU SWEETHEART,Mary Higgins Clark
0375422307,Persepolis : The Story of a Childhood (Alex Awards (Awards)),MARJANE SATRAPI
0679745653,Breakfast at Tiffany's: And Three Stories (First Vintage International),Truman Capote
044166251X,"Phule's Company (Phule's Company, No 1)",Robert Asprin
0425177068,Family Honor,Robert B. Parker
009188800X,,
0449213730,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
0515110973,Honest Illusions,Nora Roberts
0061020699,Equal Rites (Discworld Novels (Paperback)),Terry Pratchett
1551668246,Perfect Evil (Maggie O'Dell Novels (Paperback)),Alex Kava
0451204956,Bad Boy,Olivia Goldsmith
0312963297,Trunk Music (Detective Harry Bosch Mysteries),Michael Connelly
0380726262,Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
0679434046,In the Kitchen With Rosie: Oprah's Favorite Recipes,Rosie Daley
0446606251,Snow in August,Pete Hamill
0425165566,Tom Clancy's Op-Center Balance of Power (Tom Clancy's Op Center (Paperback)),Tom Clancy
0440235804,Her Father's House,BELVA PLAIN
0553280643,The Gate to Women's Country,Sheri S. Tepper
0066238501,Complete Chronicles of Narnia,C. S. Lewis
044100069X,Deerskin,Robin McKinley
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams
0449217264,Alaska,James A. Michener
0836218817,Unnatural Selections,Gary Larson
0505525526,Single White Vampire,Lynsay Sands
0380817683,Rachel's Holiday,Marian Keyes
0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan
0440184053,Summer's End,Danielle Steel
0553255762,Maya Angelou: Poems,MAYA ANGELOU
0451519841,1984,George Orwell
0440184622,Tai-Pan,JAMES CLAVELL
1551668300,16 Lighthouse Road,Debbie Macomber
0060923245,Sweet Hereafter Movie Tie-In : A Novel,Russell Banks
0689818769,Frindle,Andrew Clements
0425098648,Night Chills,Dean R. Koontz
055329024X,Earth,David Brin
0394585852,Personal History,Katharine Graham
0671774670,Mother of Pearl (Oprah's Book Club (Paperback)),Melinda Haynes
0099429799,,
0099464810,,
0671873202,Hidden Jewel (Landry),V.C. Andrews
0451160312,I Never Promised You a Rose Garden,Joanne Greenberg
0836220498,Night Of Crash-Test Dummies,Gary Larson
0380732661,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
0671525433,Dark Angel,V.C. Andrews
0571216420,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre
0874869870,She Said Yes: The Unlikely Martyrdom of Cassie Bernall,Misty Bernall
0688156142,The Forgotten: A Peter Decker/Rina Lazarus Novel,Faye Kellerman
0060934700,Smoke and Mirrors: Short Fictions and Illusions,Neil Gaiman
088730866X,The Dilbert Future: Thriving on Stupidity in the 21st Century,Scott Adams
0812513711,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan
158234082X,Kitchen Confidential : Adventures in the Culinary Underbelly,Anthony Bourdain
0345434498,Hostage,Robert Crais
0696217120,Trading Spaces Behind the Scenes: Including Decorating Tips and Tricks,Brian Kramer
0446519723,Where the Heart Is: A Novel,Billie Letts
0316346624,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
0805019367,"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton
0684826127,WATER WITCHES,Chris Bohjalian
0849911796,The Visitation,Frank Peretti
8806143042,Almost blue (Stile libero),Carlo Lucarelli
0743206053,Kitchen Privileges : A Memoir,Mary Higgins Clark
0743204077,Soul Stories,Gary Zukav
0312113420,James Herriot's Cat Stories,James Herriot
0020198906,Joshua,Joseph F Girzone
0380726254,Serpent's Tooth : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman
0451201558,Cold Case,Stephen White
0552146153,,
038533303X,Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti
1551668726,Death Qualified (Barbara Holloway Novels (Paperback)),Kate Wilhelm
0425100650,Twilight Eyes,Dean R. Koontz
0671721291,The Ship Who Searched,Anne McCaffrey
0553576143,The Cry of the Halidon,Robert Ludlum
0515120871,Finding the Dream,Nora Roberts
0449225151,A Place Called Freedom,Ken Follett
034543448X,Demolition Angel,Robert Crais
0345379330,"Mostly Harmless (Hitchhiker's Trilogy, No 5)",Douglas Adams
0060096209,A Little Help from Above,Saralee Rosenberg
0743423682,Hollywood Wives - The New Generation,Jackie Collins
0812550285,"A Crown of Swords (The Wheel of Time, Book 7)",Robert Jordan
0373484909,Secret Star,Nora Roberts
0688171877,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund
0061099732,Outer Banks,Anne Rivers Siddons
1551668017,Firebrand (Mira Historical Romance),Susan Wiggs
0425184234,A Small Death in Lisbon,Robert Wilson
0553290789,Genuine Lies,Nora Roberts
0786883375,Don't Sweat the Small Stuff with Your Family : Simple Ways to Keep Daily Responsibilities and Household Chaos from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson
0374332657,Holes (Newbery Medal Book),Louis Sachar
0786883219,Brain Droppings,George Carlin
0515114006,Private Scandals,Nora Roberts
0380715430,The Mother Tongue,Bill Bryson
0373250193,Loose Screws (Red Dress Ink (Paperback)),Karen Templeton
006109398X,The Treasure Box,Orson Scott Card
0312979975,Fantasy Lover,Sherrilyn Kenyon
0380726815,Sights Unseen,Kaye Gibbons
0671047329,The Third Option,Vince Flynn
0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley
0684802988,FLOOD TIDE,Clive Cussler
8472236552,UN Viejo Que Leia Novelas De Amor/the Old Men Who Read Love Stories (ColecciÃ³n Andanzas),Luis Sepulveda
0446672351,Reservation Blues,Sherman Alexie
0684804522,GARDEN OF EDEN,Ernest Hemingway
884590184X,Siddharta Romanzo Versione Di M Mila,Hermann Hesse
0141011904,,
0440211891,Heartbeat,Danielle Steel
006109157X,Dead Eyes,Stuart Woods
0440209412,Message from Nam,Danielle Steel
0515099546,The Cat Who Sniffed Glue,Lilian Jackson Braun
0451409256,Making Minty Malone,Isabel Wolff
0812550293,"The Path of Daggers (The Wheel of Time, Book 8)",Robert Jordan
0688162827,Tell Me Your Dreams,Sidney Sheldon
0684835975,We'll Meet Again,Mary Higgins Clark
1853260150,Picture of Dorian Gray (Wordsworth Classics),Oscar Wilde
0743456866,He Sees You When You're Sleeping : A Novel,Carol Higgins Clark
0553251481,Jitterbug Perfume,Tom Robbins
0515107867,The Cat Who Knew a Cardinal,Lilian Jackson Braun
0552546933,,
0375713751,I Don't Know How She Does It,ALLISON PEARSON
0749395699,,
0345368991,The Chronicles of Pern: 1st Fall (The Dragonriders of Pern),Anne McCaffrey
0345409876,Women Who Run with the Wolves,CLARISSA PINKOLA PHD ESTES
0061091790,After All These Years,Susan Isaacs
0836218256,Something Under the Bed Is Drooling,Bill Watterson
0449003701,The Tall Pine Polka (Ballantine Reader's Circle),LORNA LANDVIK
0517703963,Midwives,Chris Bohjalian
0553258524,Dragonsong (Harper Hall Trilogy),Anne McCaffrey
0061054895,Soul Music (Discworld Novels (Paperback)),Terry Pratchett
0440405483,Many Waters,Madeleine L'Engle
0399149422,The Cat Who Brought Down the House,Lilian Jackson Braun
0451203070,Tending Roses,Lisa Wingate
0671870114,Saving Grace,Julie Garwood
0310209307,The Case for Christ:  A Journalist's Personal Investigation of the Evidence for Jesus,Lee Strobel
0553583573,Dark Horse,TAMI HOAG
0440212723,Cold Sassy Tree,Olive Ann Burns
0671657860,"Many Lives, Many Masters",Brian L. Weiss
0425173631,Witness in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb
0099604302,,
0345322215,Wielding a Red Sword (Incarnations of Immortality (Paperback)),Piers Anthony
0060085444,She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot
1573229385,The Frog King: A Love Story,Adam Davies
051513239X,The Music of the Spheres,Elizabeth Redfern
349913599X,,
0771099894,,
0425135721,McNally's Secret (Archy McNally Novels (Paperback)),Lawrence Sanders
044024126X,Taken,Thomas H. Cook
0345432401,Omerta,Mario Puzo
0060529709,Everything Is Illuminated : A Novel,Jonathan Safran Foer
185326086X,Dracula (Wordsworth Classics),B. Stoker
044022859X,Holes (Readers Circle),LOUIS SACHAR
0099289520,,
0553572512,Playing for the Ashes,ELIZABETH GEORGE
1882723007,Embraced by the Light,Betty J. Eadie
0399144714,Vector,Robin Cook
0786890371,Cranberry Queen,Kathleen DeMarco
0028604202,Politically Correct Holiday Stories: For an Enlightened Yuletide Season,James Finn Garner
3518368540,Homo Faber,Max Frisch
0671793535,A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),Ann Rule
0380752891,"Man from Mundania (Xanth Trilogy, No 12)",Piers Anthony
0451410319,Hush,Anne Frasier
1558746463,Chicken Soup for the Couple's Soul (Chicken Soup for the Soul),Jack Canfield
0446692298,Fat Girls and Lawn Chairs,Cheryl Peck
0571206484,Prodigal Summer,Barbara Kingsolver
068486424X,"YESTERDAY, I CRIED : Celebrating the Lessons of Living and Loving",Iyanla Vanzant
0446607274,Angels Flight (Detective Harry Bosch Mysteries),Michael Connelly
0553560719,"Dark Force Rising (Star Wars: The Thrawn Trilogy, Vol. 2)",Timothy Zahn
0553574566,A Monstrous Regiment of Women,LAURIE R. KING
055314300X,Bourne Identity,Robert Ludlum
0515120456,The Dark Room,Minette Walters
0345285549,Elfstones of Shannara,Terry Brooks
0380818191,"Truth, The",Terry Pratchett
042518904X,Widow's Walk,Robert B. Parker
0061031992,A Theory of Relativity,Jacquelyn Mitchard
0345447832,The Surgeon,TESS GERRITSEN
0061020400,The Fifth Elephant: A Novel of Discworld,Terry Pratchett
0446522597,The Winner,David Baldacci
0425174344,Local Girls,Alice Hoffman
0330294911,Man Who Mistook His Wife for a Hat,Oliver Sacks
0689824750,Among the Hidden,Margaret Peterson Haddix
0385498799,Bee Season,Myla Goldberg
0380014300,Nine Princes In Amber,Roger Zelazny
0553284118,Creature,John Saul
2841160297,,
0553574086,Critical Judgment,Michael Palmer
0446675776,Kiss My Tiara : How to Rule the World as a SmartMouth Goddess,Susan Jane Gilman
0805010858,I Is for Innocent (A Kinsey Millhone Mystery),Sue Grafton
042517140X,Loyalty in Death,J. D. Robb
0140086838,Ceremony (Contemporary American Fiction Series),Leslie Marmon Silko
0373484887,Hidden Star (The Star Series),Nora Roberts
0312979983,Night Pleasures (Dark-Hunters),Sherrilyn Kenyon
0440944597,The Chocolate War (Laurel Leaf Books),ROBERT CORMIER
1400060737,The Birth of Venus,Sarah Dunant
0553801929,Dark Horse,TAMI HOAG
034911675X,,
0440208459,Burn Marks (V.I. Warshawski Novels (Paperback)),Sara Paretsky
0385319444,Lost in Translation,Nicole Mones
0449225046,Black Lightning,John Saul
0679893105,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN
0380713802,Neither Here nor There: Travels in Europe,Bill Bryson
0765340747,"The Pillars of Creation (Sword of Truth, Book 7)",Terry Goodkind
0451197410,How Stella Got Her Groove Back,Terry McMillan
0552149519,,
0553581023,Follow the Stars Home,Luanne Rice
0061059072,The Last Continent (Discworld Novels (Paperback)),Terry Pratchett
0684853949,The Man Who Mistook His Wife For A Hat : And Other Clinical Tales,Oliver Sacks
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane
055326611X,EVEN COWGIRLS GET THE BLUES,TOM ROBBINS
0821772953,The Morning After,Lisa Jackson
0061096083,The Bestseller,Olivia Goldsmith
0425153789,Immortal in Death,J. D. Robb
014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner
0064409422,"The Lion, the Witch and the Wardrobe (Full-Color Collector's Edition)",C. S. Lewis
0061099708,Colony,Anne Rivers Siddons
0425093328,The Cat Who Walks Through Walls,Robert A. Heinlein
0671795554,Remember When,Judith McNaught
0804108447,Druids,MORGAN LLYWELYN
880781210X,iI Paradiso Degli Orchi,Daniel Pennac
0375724400,When We Were Orphans (Vintage International (Paperback)),Kazuo Ishiguro
0060927216,Paula,Isabel Allende
0451206711,Orchid Blues (Holly Barker Novels (Paperback)),Stuart Woods
0671880608,Until You,Judith McNaught
0399135782,The Kitchen God's Wife,Amy Tan
0679783571,The Broke Diaries: The Completely True and Hilarious Misadventures of a Good Girl Gone Broke,Angela Nissel
0553379011,The Story of B,DANIEL QUINN
0836218981,The Indispensable Calvin And Hobbes,Bill Watterson
0553268929,The Great Santini,Pat Conroy
0553212621,Lady Chatterley's Lover: Complete and Unexpurgated 1928 Orioli Edition,D. H. Lawrence
0385332963,Leap of Faith,Danielle Steel
0671537458,Waiting to Exhale,Terry McMillan
0140075623,Stones for Ibarra (Penguin Contemporary American Fiction Series),Harriet Doerr
0316929190,All Too Human : A Political Education,George Stephanopoulos
0451210638,A Case of Need,Michael Crichton
0399151451,Bad Business,Robert B. Parker
0552148997,,
1853260231,Frankenstein (Wordsworth Classics),Mary Wollstonecraft Shelley
0345387554,The Horse You Came In On,Martha Grimes
0380808072,First Lady,Susan Elizabeth Phillips
0064404773,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley
0770423345,,
0061099341,As the Crow Flies,Jeffrey Archer
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen
0843949945,Dark Guardian,Christine Feehan
0743464451,The Song Reader,Lisa Tucker
0061031089,Running Scared,Elizabeth Lowell
0515123471,10 Lb. Penalty,Dick Francis
0425183750,Blood Lure,Nevada Barr
0688156134,Stalker: A Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman
0385720114,The Map of Love,Ahdaf Soueif
0142004030,Lost in a Good Book (Thursday Next Novels (Penguin Books)),Jasper Fforde
0440168724,A Perfect Stranger,Danielle Steel
0553575090,Deception on His Mind,ELIZABETH GEORGE
0345391829,"Life, the Universe, and Everything (Hitchhiker's Trilogy (Paperback))",DOUGLAS ADAMS
3596122279,Das Superwieb,Hera Lind
0836220730,It Came From The Far Side,Gary Larson
0061020648,Guards! Guards! (Discworld Novels (Paperback)),Terry Pratchett
0743466527,Fall on Your Knees (Oprah's Book Club),Ann-Marie MacDonald
0061097659,Switcheroo : A Novel,Olivia Goldsmith
0836217241,The Far Side Gallery 4,Gary Larson
0786889551,The Pied Piper,Ridley Pearson
